Inference Latency (ms),Prediction,Input Text,Timestamp
22.31,POSITIVE,Hello.,2025-03-19T17:00:42.060839
24.76,POSITIVE,Good day.,2025-03-19T17:00:42.099675
34.01,NEGATIVE,How are you,2025-03-19T17:00:42.150302
34.98,POSITIVE,Thank you,2025-03-19T17:00:42.204549
25.89,POSITIVE,Yes please,2025-03-19T17:00:42.247460
28.16,NEGATIVE,No thanks,2025-03-19T17:00:42.293318
27.10,NEGATIVE,Lets go,2025-03-19T17:00:42.337460
29.35,POSITIVE,See you soon,2025-03-19T17:00:42.388286
28.22,POSITIVE,Have a nice day,2025-03-19T17:00:42.433958
27.66,POSITIVE,Okay sounds good,2025-03-19T17:00:42.478738
35.36,POSITIVE,The movie was absolutely fantastic and I enjoyed every minute,2025-03-19T17:00:42.538286
38.58,POSITIVE,I am very happy with the service provided it exceeded my expectations,2025-03-19T17:00:42.592988
38.33,POSITIVE,The food was delicious and the staff were incredibly friendly and helpful,2025-03-19T17:00:42.647457
37.03,POSITIVE,This product is amazing I would highly recommend it to everyone,2025-03-19T17:00:42.700069
36.40,POSITIVE,Everything was perfect from start to finish a truly wonderful experience,2025-03-19T17:00:42.752516
37.87,POSITIVE,I am extremely satisfied with my purchase and would buy it again,2025-03-19T17:00:42.806776
37.07,POSITIVE,The quality is excellent and the price is very reasonable great value,2025-03-19T17:00:42.859505
36.84,POSITIVE,I had a fantastic time and will definitely be returning in the future,2025-03-19T17:00:42.912322
35.22,POSITIVE,The atmosphere was lovely and the overall experience was top notch,2025-03-19T17:00:42.963245
35.53,POSITIVE,I could not be happier with the outcome truly exceptional work,2025-03-19T17:00:43.015846
34.62,NEGATIVE,The movie was terrible and I regretted wasting my time watching it,2025-03-19T17:00:43.065929
41.96,NEGATIVE,I am very disappointed with the service it was far below my expectations,2025-03-19T17:00:43.123817
57.35,NEGATIVE,The food was awful and the staff were rude and unhelpful a terrible experience,2025-03-19T17:00:43.198444
38.53,NEGATIVE,This product is a complete waste of money do not buy it extremely poor quality,2025-03-19T17:00:43.254938
37.41,NEGATIVE,Everything was a disaster from beginning to end a truly awful and frustrating experience,2025-03-19T17:00:43.307783
41.03,NEGATIVE,I am extremely dissatisfied and will never purchase anything from this company again,2025-03-19T17:00:43.366675
38.40,NEGATIVE,The quality is terrible and the price is outrageous absolutely no value for money,2025-03-19T17:00:43.422178
37.44,NEGATIVE,I had a terrible time and would strongly advise everyone to avoid this place in the future,2025-03-19T17:00:43.475222
33.03,NEGATIVE,The atmosphere was unpleasant and the whole experience was incredibly disappointing,2025-03-19T17:00:43.522602
44.53,NEGATIVE,I could not be more unhappy with the result completely unacceptable and unprofessional work,2025-03-19T17:00:43.583237
40.36,NEGATIVE,While the plot was confusing the acting was superb but the ending made little sense What did you think,2025-03-19T17:00:43.639153
40.53,NEGATIVE,Although it started promisingly the second half of the book really let me down which is a shame,2025-03-19T17:00:43.694146
34.45,POSITIVE,Despite some initial flaws the product ultimately delivered on its promises surprisingly,2025-03-19T17:00:43.742903
40.19,POSITIVE,Even though it rained all day we still managed to have a good time can you believe it,2025-03-19T17:00:43.798807
39.89,POSITIVE,Considering the price the quality is acceptable but is it really worth the money in the long run,2025-03-19T17:00:43.852628
36.88,NEGATIVE,While I appreciate the effort the final result is simply not up to par unfortunately,2025-03-19T17:00:43.903506
37.62,NEGATIVE,Although I had high hopes the experience was ultimately underwhelming and forgettable sadly,2025-03-19T17:00:43.955537
40.05,NEGATIVE,Despite the positive reviews I found it to be quite mediocre and not particularly memorable to be honest,2025-03-19T17:00:44.010085
45.69,NEGATIVE,Even with the discounts I am not sure if it is a good deal what do you think about the value proposition,2025-03-19T17:00:44.070091
36.06,NEGATIVE,While some aspects were well done the overall impression was rather disappointing wouldnt you agree,2025-03-19T17:00:44.120469
34.93,POSITIVE,Container orchestration in Docker Swarm is essential for scalability,2025-03-19T17:00:44.170005
37.75,POSITIVE,Latency and throughput are key metrics for LLM inference performance,2025-03-19T17:00:44.222482
30.18,POSITIVE,Network topology significantly impacts distributed systems,2025-03-19T17:00:44.267340
33.72,NEGATIVE,Bash scripts can be used for IT automation,2025-03-19T17:00:44.316144
37.23,POSITIVE,Distributed topology involves remote sites,2025-03-19T17:00:44.373684
34.69,NEGATIVE,Mesh networks in Docker Swarm may have performance penalties,2025-03-19T17:00:44.426284
30.97,NEGATIVE,Large language model prompts can be complex,2025-03-19T17:00:44.472980
35.02,NEGATIVE,Poor Swarm performance can lead to lag,2025-03-19T17:00:44.530185
31.59,POSITIVE,LLMs explore latency throughput and cost,2025-03-19T17:00:44.578026
37.38,NEGATIVE,New bash scripts can be generated by LLMs,2025-03-19T17:00:44.632390
71.30,POSITIVE,The advancements in large language models have been truly remarkable in recent years Their ability to understand and generate human like text is transforming various industries and applications From natural language processing to content creation the potential is vast,2025-03-19T17:00:44.720971
61.55,POSITIVE,Despite the excitement there are also valid concerns regarding the ethical implications of increasingly powerful LLMs Issues such as bias in training data the potential for misuse and the societal impact of automation need careful consideration and responsible development practices,2025-03-19T17:00:44.797828
54.54,NEGATIVE,The performance of distributed systems is heavily influenced by network topology Choosing the right network structure is crucial for ensuring scalability reliability and efficient communication between components especially in demanding applications like distributed LLM inference,2025-03-19T17:00:44.866281
62.60,NEGATIVE,While Docker Swarm offers built in mesh networking for service discovery it is important to be aware of potential performance overhead associated with mesh topologies in certain scenarios Careful monitoring and performance testing are recommended to optimize Swarm deployments,2025-03-19T17:00:44.942770
66.71,POSITIVE,Timothee Lacroix CTO of Mistral discussed exploring the latency throughput and cost space for LLM inference highlighting the importance of optimizing these factors for practical LLM deployments Understanding these trade offs is crucial for real world applications,2025-03-19T17:00:45.023444
51.71,NEGATIVE,The newly created Docker Swarm cluster exhibited surprisingly poor performance with significant lag observed when interacting with the cluster management interface particularly through Portainer indicating potential architectural bottlenecks,2025-03-19T17:00:45.089035
61.03,NEGATIVE,Bash one liners and even more complex scripts can be effectively leveraged for various IT automation tasks and advanced large language models can even assist in generating these scripts for system reliability engineering and other domains,2025-03-19T17:00:45.165082
47.34,POSITIVE,In a distributed topology a common architecture involves deploying application components across multiple geographically dispersed remote sites enhancing resilience and proximity to end users,2025-03-19T17:00:45.228023
55.48,POSITIVE,Generating custom bash scripts using sophisticated 70B parameter LLMs integrated directly into the shell environment represents a cutting edge approach to automating and streamlining system administration and development workflows,2025-03-19T17:00:45.297613
49.37,POSITIVE,Understanding the intricate interplay between latency throughput and cost is paramount when deploying large language models for inference in production environments demanding careful optimization and resource management,2025-03-19T17:00:45.360952
29.51,NEGATIVE,Testing latency for repeated query,2025-03-19T17:00:45.404706
29.13,NEGATIVE,Another latency measurement for consistency check,2025-03-19T17:00:45.448432
36.56,NEGATIVE,Measuring latency under slightly different input,2025-03-19T17:00:45.501977
44.29,NEGATIVE,Latency test with input variation number ${i},2025-03-19T17:00:45.566676
37.22,NEGATIVE,Run ${i} of latency measurement series,2025-03-19T17:00:45.620891
134.79,NEGATIVE,This is a very long sentence designed to test the latency impact of input text length on the LLM inference service We are exploring how the length of the input affects the processing time and overall performance This paragraph is intentionally extended to simulate scenarios where the model needs to handle more substantial amounts of textual data for sentiment analysis We will analyze the latency measurements for these long inputs in comparison to shorter sentences to determine if there is a significant correlation between input length and inference time  Understanding this relationship is crucial for optimizing the service and predicting performance under varying workloads,2025-03-19T17:00:45.776139
30.37,NEGATIVE,This movie felt like the inside of my head,2025-03-19T17:00:45.820747
28.94,NEGATIVE,Bad cheesy acting dumb ending,2025-03-19T17:00:45.863949
34.50,NEGATIVE,Plot is interesting but its not even worth a watch,2025-03-19T17:00:45.914364
27.20,NEGATIVE,It was so terribly made,2025-03-19T17:00:45.956747
24.96,NEGATIVE,Nothing is explained,2025-03-19T17:00:45.997625
27.45,NEGATIVE,The whole journey is pointless,2025-03-19T17:00:46.040129
29.42,POSITIVE,Never seen anyone miss the point so bad,2025-03-19T17:00:46.084449
32.75,NEGATIVE,It was almost admirable how bad they missed it,2025-03-19T17:00:46.131583
31.49,POSITIVE,A movie that has terrible reviews but you enjoy anyway,2025-03-19T17:00:46.178257
35.99,NEGATIVE,What popular film do you think is a complete waste of time,2025-03-19T17:00:46.228870
32.96,NEGATIVE,A movie so terrible you would never waste your time again,2025-03-19T17:00:46.276405
33.44,NEGATIVE,What movie do you think is horrible and overrated,2025-03-19T17:00:46.326037
32.60,NEGATIVE,When I love a movie so much and see negative reviews,2025-03-19T17:00:46.373942
25.13,NEGATIVE,I stop liking it,2025-03-19T17:00:46.413755
32.77,NEGATIVE,Start to feel as if its mediocre,2025-03-19T17:00:46.461089
26.74,NEGATIVE,How do I stop this,2025-03-19T17:00:46.503736
29.21,NEGATIVE,What puts you in a terrible mood,2025-03-19T17:00:46.548367
27.98,NEGATIVE,Its something as non essential,2025-03-19T17:00:46.592225
28.66,NEGATIVE,Actually a horrible explanation,2025-03-19T17:00:46.637121
41.80,NEGATIVE,Felt like the inside of my head,2025-03-19T17:00:46.697465
39.36,NEGATIVE,World of non stop news most of it bad,2025-03-19T17:00:46.757629
35.91,NEGATIVE,How is a person like me,2025-03-19T17:00:46.811035
34.62,NEGATIVE,Trouble understanding everything,2025-03-19T17:00:46.863535
29.00,NEGATIVE,Bad acting,2025-03-19T17:00:46.909754
27.26,NEGATIVE,Dumb ending,2025-03-19T17:00:46.960408
25.74,NEGATIVE,Terribly made,2025-03-19T17:00:47.002861
28.60,NEGATIVE,Not even worth a watch,2025-03-19T17:00:47.047991
26.03,NEGATIVE,Nothing explained,2025-03-19T17:00:47.090052
24.72,NEGATIVE,Pointless journey,2025-03-19T17:00:47.130956
29.89,NEGATIVE,Missed the point so bad,2025-03-19T17:00:47.176755
32.24,NEGATIVE,Almost admirable how bad,2025-03-19T17:00:47.224740
30.91,POSITIVE,Terrible reviews but you enjoy anyway,2025-03-19T17:00:47.271678
31.34,POSITIVE,I absolutely promise not to waste your time,2025-03-19T17:00:47.319310
26.28,POSITIVE,Piece them together with commentary,2025-03-19T17:00:47.361244
29.89,POSITIVE,Make my full reviews here on Medium,2025-03-19T17:00:47.405494
30.17,NEGATIVE,Before they go anywhere else,2025-03-19T17:00:47.452150
25.79,POSITIVE,Enjoyed every minute,2025-03-19T17:00:47.494288
27.31,POSITIVE,Exceeded my expectations,2025-03-19T17:00:47.537609
28.81,POSITIVE,Incredibly friendly and helpful staff,2025-03-19T17:00:47.582822
29.21,POSITIVE,Highly recommend it to everyone,2025-03-19T17:00:47.628306
27.98,POSITIVE,Truly wonderful experience,2025-03-19T17:00:47.672104
28.88,POSITIVE,Extremely satisfied with my purchase,2025-03-19T17:00:47.717361
27.06,POSITIVE,Great value for money,2025-03-19T17:00:47.760388
31.07,POSITIVE,Definitely be returning,2025-03-19T17:00:47.807608
35.26,POSITIVE,Top notch overall experience,2025-03-19T17:00:47.859581
31.82,POSITIVE,Truly exceptional work,2025-03-19T17:00:47.908221
32.28,NEGATIVE,Regretted wasting my time watching it,2025-03-19T17:00:47.957312
32.79,POSITIVE,Far below my expectations,2025-03-19T17:00:48.006099
30.81,NEGATIVE,Awful food rude staff,2025-03-19T17:00:48.053643
28.08,NEGATIVE,Terrible experience all around,2025-03-19T17:00:48.099299
28.51,NEGATIVE,Complete waste of money,2025-03-19T17:00:48.144028
27.23,NEGATIVE,Do not buy it,2025-03-19T17:00:48.187359
27.58,NEGATIVE,Extremely poor quality,2025-03-19T17:00:48.231282
29.83,NEGATIVE,Disaster from beginning to end,2025-03-19T17:00:48.277114
26.13,NEGATIVE,Awful and frustrating,2025-03-19T17:00:48.319086
24.95,NEGATIVE,Extremely dissatisfied,2025-03-19T17:00:48.360188
28.11,NEGATIVE,Never purchase again,2025-03-19T17:00:48.404586
26.81,NEGATIVE,Terrible quality outrageous price,2025-03-19T17:00:48.447744
28.52,NEGATIVE,No value for money,2025-03-19T17:00:48.492327
29.36,NEGATIVE,Strongly advise everyone to avoid,2025-03-19T17:00:48.537754
24.77,NEGATIVE,Unpleasant atmosphere,2025-03-19T17:00:48.578389
26.23,NEGATIVE,Incredibly disappointing experience,2025-03-19T17:00:48.620952
26.17,NEGATIVE,Completely unacceptable work,2025-03-19T17:00:48.663298
29.23,NEGATIVE,Unprofessional result,2025-03-19T17:00:48.708146
35.57,NEGATIVE,While the visuals were stunning the story just didnt grab me at all,2025-03-19T17:00:48.759128
39.43,NEGATIVE,I wanted to love this film but it ended up being quite a letdown in the end,2025-03-19T17:00:48.812716
39.10,NEGATIVE,Despite the hype I found it to be rather mediocre and forgettable to be honest,2025-03-19T17:00:48.866011
35.60,NEGATIVE,The plot was all over the place and the characters felt very underdeveloped,2025-03-19T17:00:48.916017
34.28,NEGATIVE,I went in with high expectations but left feeling utterly disappointed and bored,2025-03-19T17:00:48.964533
35.16,NEGATIVE,Honestly I struggled to stay awake through most of it it was that dull,2025-03-19T17:00:49.014020
35.04,NEGATIVE,The acting was wooden and the dialogue was incredibly cliched and predictable,2025-03-19T17:00:49.063290
39.10,NEGATIVE,I wouldnt recommend this movie to anyone unless you are looking for something to put you to sleep,2025-03-19T17:00:49.117247
35.39,NEGATIVE,A complete waste of time and money I wish I had chosen to watch something else,2025-03-19T17:00:49.166858
39.10,POSITIVE,If you are considering watching this just dont You will thank me later for saving you the trouble,2025-03-19T17:00:49.220233
34.96,NEGATIVE,It had its moments but overall it was just okay nothing special,2025-03-19T17:00:49.269413
34.32,NEGATIVE,Parts of it were good but other parts were quite confusing and dragged on,2025-03-19T17:00:49.318055
37.09,NEGATIVE,I can see why some people liked it but it wasnt really my cup of tea,2025-03-19T17:00:49.369574
39.70,NEGATIVE,Its not the worst movie Ive seen but definitely not the best either somewhere in the middle,2025-03-19T17:00:49.424962
39.59,NEGATIVE,There were some interesting ideas but the execution was lacking and inconsistent,2025-03-19T17:00:49.479122
52.31,NEGATIVE,It had potential but it didnt quite live up to it which is a shame,2025-03-19T17:00:49.547911
37.82,POSITIVE,Its a mixed bag some good aspects some not so good ultimately average,2025-03-19T17:00:49.604693
42.40,POSITIVE,Not terrible but not great either just a very okay movie if you have nothing else to watch,2025-03-19T17:00:49.662562
44.88,NEGATIVE,Its watchable but dont expect to be blown away or remember it for very long,2025-03-19T17:00:49.725934
37.27,NEGATIVE,If you are really bored maybe give it a try otherwise you are not missing much really,2025-03-19T17:00:49.778392
29.71,NEGATIVE,The movie just left me feeling empty you know,2025-03-19T17:00:49.822484
30.59,NEGATIVE,Honestly I was expecting so much more from this film,2025-03-19T17:00:49.867608
29.77,NEGATIVE,What a waste of a perfectly good evening seriously,2025-03-19T17:00:49.911960
35.39,NEGATIVE,I am still trying to figure out what the point of this movie even was,2025-03-19T17:00:49.961749
35.34,NEGATIVE,If I could get those two hours of my life back I would in a heartbeat,2025-03-19T17:00:50.011366
34.90,NEGATIVE,Seriously dont believe the hype its really not worth it trust me,2025-03-19T17:00:50.060519
34.86,NEGATIVE,I am actually kind of annoyed that I spent money on this to be honest,2025-03-19T17:00:50.109517
34.51,NEGATIVE,They really dropped the ball with this one what a disappointment truly,2025-03-19T17:00:50.158279
35.82,NEGATIVE,My expectations were low and somehow it still managed to disappoint me impressive,2025-03-19T17:00:50.208410
40.14,NEGATIVE,I am not even sure how this movie got made it was just so bad on so many levels wow,2025-03-19T17:00:50.262846
